operator_qid,operator_label,country_qid,country_label,website,headquarters,inception,ceo,employees,revenue,industry,logo,stock_exchange,dissolved
Q30605616,Operatori i Sistemit te Transmetimit,Q222,Albania,https://www.ost.al/,Tirana,2004-01-01T00:00:00Z,,,,electric power industry,http://commons.wikimedia.org/wiki/Special:FilePath/Operatori%20i%20Sistemit%20t%C3%AB%20Transmetimit.svg,,
Q110008064,Q110008064,Q916,Angola,http://www.ende.co.ao/,Luanda,1987-08-15T00:00:00Z,,,,electric power distribution,,,
Q133895597,Rede Nacional de Transporte de Electricidade,Q916,Angola,http://www.rnt.co.ao/,,2014-01-01T00:00:00Z,,,,electric power industry,,,
Q131567027,Q131567027,Q414,Argentina,https://edese.com.ar,Santiago del Estero,1995-01-04T00:00:00Z,,,,public utility,,,
Q5337059,Edesur,Q414,Argentina,https://www.edesur.com.ar/,Buenos Aires,1992-01-01T00:00:00Z,,,,public utility,http://commons.wikimedia.org/wiki/Special:FilePath/Edesur%20logo22.png,,
Q117886331,Empresa de Energía de Río Negro Sociedad Anónima,Q414,Argentina,https://www.edersa.com.ar/,Cipolletti,1996-01-01T00:00:00Z,,,,public utility,http://commons.wikimedia.org/wiki/Special:FilePath/EdERSA%20Logo.png,,
Q343225,ActewAGL,Q408,Australia,https://www.actewagl.com.au/,Canberra,2000-10-03T00:00:00Z,,,,electric power distribution,http://commons.wikimedia.org/wiki/Special:FilePath/ActweAGL.png,,
Q4822520,Aurora Energy,Q408,Australia,https://www.auroraenergy.com.au/,Hobart,1998-07-01T00:00:00Z,,286,,electric power distribution,,,
Q7392701,AusNet Services,Q408,Australia,https://www.ausnetservices.com.au/,Southbank,,,,,electric power industry,,Australian Securities Exchange,
Q4822750,Ausgrid,Q408,Australia,https://www.ausgrid.com.au/,Sydney,2011-01-01T00:00:00Z,,,,,,,
Q133890760,CitiPower,Q408,Australia,https://www.citipower.com.au/,,,,,,electric power distribution,,,
Q5357218,ElectraNet,Q408,Australia,http://www.electranet.com.au/,Adelaide,,,,,electric power industry,,,
Q5375986,Endeavour Energy,Q408,Australia,https://www.endeavourenergy.com.au/,Sydney,2011-03-01T00:00:00Z,,,,,,,
Q5376841,Energex,Q408,Australia,https://www.energex.com.au,Brisbane,1997-01-01T00:00:00Z,,,,electric power distribution,,,
Q5385825,Ergon Energy,Q408,Australia,https://www.ergon.com.au/,Townsville,1999-01-01T00:00:00Z,,,,,,,
Q17003842,Essential Energy,Q408,Australia,https://www.essentialenergy.com.au/,Port Macquarie,2011-01-01T00:00:00Z,,,,,,,
Q111081969,Evoenergy,Q408,Australia,https://www.evoenergy.com.au/,Bunda Street,,,,,electric power distribution,,,
Q5903476,Horizon Power,Q408,Australia,,Karratha,,,,,utility,,,
Q7236677,Powercor Australia,Q408,Australia,https://www.powercor.com.au/,Melbourne,1994-05-11T00:00:00Z,,,,electric power distribution,http://commons.wikimedia.org/wiki/Special:FilePath/Powercor.png,,
Q7236786,Powerlink Queensland,Q408,Australia,http://www.powerlink.com.au/,Brisbane,1995-01-01T00:00:00Z,,,,electric power industry,,,
Q7388891,SA Power Networks,Q408,Australia,http://www.sapowernetworks.com.au/,Adelaide,,,,,,,,
Q7833620,TransGrid,Q408,Australia,https://www.transgrid.com.au/,Sydney,,,,,electric power industry,,,
